"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AMBUJACEM","EQ","06-Jul-2020","        195.80","        197.75","        198.00","        193.35","        193.90","        193.90","        195.43","    2632304","           514438717.65","      32718","     965894","         36.69"
"AMBUJACEM","EQ","07-Jul-2020","        193.90","        194.60","        194.60","        191.10","        193.35","        193.25","        192.87","    2551746","           492143944.55","      38281","    1176640","         46.11"
"AMBUJACEM","EQ","08-Jul-2020","        193.25","        194.25","        196.60","        192.80","        195.25","        195.55","        194.97","    3253882","           634421555.55","      37396","    1385581","         42.58"
"AMBUJACEM","EQ","09-Jul-2020","        195.55","        196.40","        202.90","        195.60","        202.20","        202.00","        200.40","    8857515","          1775015971.10","      66225","    1916291","         21.63"
"AMBUJACEM","EQ","10-Jul-2020","        202.00","        202.20","        204.35","        196.50","        196.75","        197.20","        200.25","    6643796","          1330425304.65","      49466","    1328498","         20.00"
"AMBUJACEM","EQ","13-Jul-2020","        197.20","        197.20","        199.70","        193.75","        198.40","        198.45","        197.14","    5213446","          1027757083.05","      38823","    1595116","         30.60"
"AMBUJACEM","EQ","14-Jul-2020","        198.45","        197.85","        199.20","        190.00","        191.00","        190.50","        193.01","    4391974","           847710231.55","      36760","    1522187","         34.66"
"AMBUJACEM","EQ","15-Jul-2020","        190.50","        192.50","        193.25","        187.70","        188.65","        188.65","        190.51","    4521290","           861336327.35","      32892","    2111801","         46.71"
"AMBUJACEM","EQ","16-Jul-2020","        188.65","        189.45","        193.00","        185.70","        192.50","        192.50","        189.73","    3137669","           595323469.45","      40285","    1302534","         41.51"
"AMBUJACEM","EQ","17-Jul-2020","        192.50","        193.10","        195.60","        191.30","        193.15","        193.45","        193.85","    3254870","           630971149.70","      23978","     909161","         27.93"
"AMBUJACEM","EQ","20-Jul-2020","        193.45","        195.00","        197.00","        194.50","        196.50","        195.70","        195.59","    2204860","           431243718.00","      20538","     692160","         31.39"
"AMBUJACEM","EQ","21-Jul-2020","        195.70","        201.00","        208.00","        200.00","        205.30","        204.95","        205.41","   12976657","          2665554325.70","     136495","    3734538","         28.78"
"AMBUJACEM","EQ","22-Jul-2020","        204.95","        204.95","        204.95","        199.10","        202.20","        200.90","        201.69","    3320086","           669624068.20","      24293","    1416870","         42.68"
"AMBUJACEM","EQ","23-Jul-2020","        200.90","        201.50","        202.25","        197.25","        198.80","        197.95","        198.91","    3302917","           656975209.30","      22643","    1308470","         39.62"
"AMBUJACEM","EQ","24-Jul-2020","        197.95","        197.95","        202.50","        196.50","        201.05","        200.95","        199.98","    5135305","          1026958743.65","      41614","    1008759","         19.64"
"AMBUJACEM","EQ","27-Jul-2020","        200.95","        205.90","        208.95","        202.05","        206.75","        207.15","        206.07","   11855464","          2443095520.45","      97096","    2148568","         18.12"
"AMBUJACEM","EQ","28-Jul-2020","        207.15","        206.75","        218.85","        205.80","        216.40","        216.70","        212.84","    8290471","          1764503405.30","      57771","    2021947","         24.39"
"AMBUJACEM","EQ","29-Jul-2020","        216.70","        216.50","        219.60","        213.75","        214.65","        215.60","        216.27","    5678086","          1227998147.75","      43192","    1239135","         21.82"
"AMBUJACEM","EQ","30-Jul-2020","        215.60","        216.00","        222.20","        213.05","        222.00","        221.25","        219.65","    5871680","          1289687231.35","      45305","    2131958","         36.31"
"AMBUJACEM","EQ","31-Jul-2020","        221.25","        221.25","        225.50","        217.60","        219.60","        220.10","        221.18","    6638453","          1468266875.70","      52538","    2063490","         31.08"
"AMBUJACEM","EQ","03-Aug-2020","        220.10","        218.50","        225.80","        218.50","        220.65","        221.15","        223.25","    6020129","          1343966659.60","      59532","    2269772","         37.70"
"AMBUJACEM","EQ","04-Aug-2020","        221.15","        221.10","        225.15","        220.25","        221.70","        221.55","        222.89","    4706837","          1049103122.75","      41761","    1895236","         40.27"
"AMBUJACEM","EQ","05-Aug-2020","        221.55","        221.60","        224.15","        219.25","        221.35","        220.90","        221.76","    4115591","           912656504.40","      33891","    1431982","         34.79"
"AMBUJACEM","EQ","06-Aug-2020","        220.90","        221.35","        224.75","        221.10","        223.50","        222.95","        223.50","    3245608","           725394541.40","      19360","    1325815","         40.85"
"AMBUJACEM","EQ","07-Aug-2020","        222.95","        222.00","        226.25","        218.60","        219.70","        219.55","        221.78","    4871444","          1080400168.85","      36112","    1802267","         37.00"
"AMBUJACEM","EQ","10-Aug-2020","        219.55","        221.00","        223.50","        219.55","        222.50","        221.85","        221.61","    3306247","           732694525.95","      26981","     883429","         26.72"
"AMBUJACEM","EQ","11-Aug-2020","        221.85","        222.85","        229.25","        221.35","        222.85","        222.75","        224.94","    6916437","          1555751509.10","      66651","    1109278","         16.04"
"AMBUJACEM","EQ","12-Aug-2020","        222.75","        222.50","        223.20","        219.30","        221.90","        221.80","        221.04","    2396865","           529797421.95","      18850","     389138","         16.24"
"AMBUJACEM","EQ","13-Aug-2020","        221.80","        222.30","        224.85","        219.80","        221.95","        222.00","        222.54","    2238707","           498208338.60","      19223","     615593","         27.50"
"AMBUJACEM","EQ","14-Aug-2020","        222.00","        221.80","        224.55","        218.85","        220.00","        220.75","        221.85","    2751124","           610349548.80","      22089","     509033","         18.50"
"AMBUJACEM","EQ","17-Aug-2020","        220.75","        221.75","        222.95","        218.10","        219.50","        219.35","        219.59","    2479307","           544441891.15","      20307","     613195","         24.73"
"AMBUJACEM","EQ","18-Aug-2020","        219.35","        219.50","        229.20","        219.50","        228.25","        228.20","        225.67","    5469882","          1234411685.05","      40229","    1487305","         27.19"
"AMBUJACEM","EQ","19-Aug-2020","        228.20","        230.20","        231.85","        225.70","        227.30","        226.95","        228.73","    4821016","          1102689339.85","      34311","    1593784","         33.06"
"AMBUJACEM","EQ","20-Aug-2020","        226.95","        224.80","        228.30","        224.00","        225.00","        225.35","        225.89","    1540485","           347976552.55","      16342","     254123","         16.50"
"AMBUJACEM","EQ","21-Aug-2020","        225.35","        226.60","        228.70","        224.40","        226.65","        225.95","        226.53","    1700350","           385177722.20","      22986","     468544","         27.56"
"AMBUJACEM","EQ","24-Aug-2020","        225.95","        226.50","        227.25","        223.15","        224.25","        224.20","        224.70","    2503510","           562526838.95","      40453","     915364","         36.56"
"AMBUJACEM","EQ","25-Aug-2020","        224.20","        224.60","        226.20","        221.10","        222.90","        222.35","        222.46","    1638069","           364403668.00","      15900","     461744","         28.19"
"AMBUJACEM","EQ","26-Aug-2020","        222.35","        223.60","        223.60","        219.60","        221.45","        220.85","        220.86","    2595484","           573232381.05","      20779","     961846","         37.06"
"AMBUJACEM","EQ","27-Aug-2020","        220.85","        222.00","        223.70","        220.20","        221.50","        221.35","        221.46","    2046039","           453120382.75","      11017","     989221","         48.35"
"AMBUJACEM","EQ","28-Aug-2020","        221.35","        222.10","        225.15","        220.35","        222.00","        222.45","        222.62","    4114190","           915896145.85","      38443","    1820121","         44.24"
"AMBUJACEM","EQ","31-Aug-2020","        222.45","        222.50","        224.10","        208.55","        209.85","        210.55","        214.08","    4230653","           905713518.55","      43304","    1566664","         37.03"
"AMBUJACEM","EQ","01-Sep-2020","        210.55","        211.00","        214.35","        208.40","        213.10","        213.00","        211.41","    4386376","           927306687.90","      35759","    1562315","         35.62"
"AMBUJACEM","EQ","02-Sep-2020","        213.00","        213.25","        218.50","        211.25","        217.50","        217.25","        215.32","    3871764","           833660136.75","      29334","    1899598","         49.06"
"AMBUJACEM","EQ","03-Sep-2020","        217.25","        218.30","        220.00","        213.50","        214.30","        214.60","        215.34","    3292415","           709002804.50","      26662","    1635728","         49.68"
"AMBUJACEM","EQ","04-Sep-2020","        214.60","        211.70","        212.60","        207.00","        207.60","        208.50","        210.61","    3950171","           831934750.40","      22386","    2135845","         54.07"
"AMBUJACEM","EQ","07-Sep-2020","        208.50","        208.50","        212.35","        206.45","        210.20","        210.55","        209.55","    4220405","           884394216.15","      34453","     550388","         13.04"
"AMBUJACEM","EQ","08-Sep-2020","        210.55","        210.50","        210.50","        205.65","        206.00","        206.50","        207.98","    2070634","           430657815.90","      23100","     414930","         20.04"
"AMBUJACEM","EQ","09-Sep-2020","        206.50","        205.75","        210.50","        204.30","        209.35","        209.45","        207.84","    2844517","           591206028.90","      23779","     522363","         18.36"
